filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	summarylen	summarytext
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case confronts Wage in the Chat bar, but Ratz disarms him. Wage questions Case about someone trying to set him up. Case gives Wage a flask of pituitaries for his safety and leaves the bar. Case meets Molly, who reveals that she is collecting him for the man she works for and offers him her protection.	8067	467	8	275	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services.	9072	530	8	330	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Armitage explains his plan to Case and Molly, revealing that he wants them to carry out a dangerous mission involving hacking into a powerful AI. Case agrees to join the mission, driven by the promise of having his neural damage fixed.	9072	530	9	330	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters.	10081	596	9	364	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly receive a call from Armitage, who instructs them to meet him at the Hilton. They go to the Hilton and meet Armitage, who reveals more details about their mission and the tasks they need to accomplish.	10081	596	10	364	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City.	11086	664	10	387	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case meets with Armitage, who reveals more about their mission and the involvement of the Yakuza. Armitage tasks Case with gathering information on Wage, leading Case to embark on a dangerous investigation.	11086	664	11	387	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly go to Sammi's, an arena where knife-fighting matches take place, and watch the holographic fight. Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked. He sees Linda Lee, his former lover, and chases after her, but is attacked by a boy with a razor. Molly saves him by shooting the boy with fletchettes.	12088	733	11	414	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Molly helps Case up and they quickly leave Sammi's, shaken by the encounter. They decide to go back to the Chat bar to regroup and discuss their next move.	12088	733	12	414	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters. Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly witness a knife-fighting match, but their encounter is interrupted when Case is attacked by a boy with a razor. Molly saves him by shooting the boy, and they find Linda Lee lying injured on the ground.	13097	801	12	477	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Molly reveals Linda Lee's death and gives Case a bag of preserved ginger. They leave Chiba City and head towards their next destination.	13097	801	13	477	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters. Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City. Case and Molly go to Sammi's, an arena where knife-fighting matches take place, and watch the holographic fight. Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked. He sees Linda Lee, his former lover, and chases after her, but is attacked by a boy with a razor. Molly saves him by shooting the boy with fletchettes.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Armitage reveals to Case that he has implanted toxin sacs in his body and offers to remove them if Case completes a job for him.	14098	869	13	516	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case agrees to work for Armitage to have the toxin sacs removed and they start planning their next move.	14098	869	14	516	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters. Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City. Case and Molly go to Sammi's, an arena where knife-fighting matches take place, and watch the holographic fight. Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked. He sees Linda Lee, his former lover, and chases after her, but is attacked by a boy with a razor. Molly saves him by shooting the boy with fletchettes. Case and Molly witness a knife-fighting match, but their encounter is interrupted when Case is attacked by a boy with a razor. Molly saves him by shooting the boy, and they find Linda Lee lying injured on the ground.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly enter a hidden room where Finn, a man with small ears and yellow teeth, scans them for implants and assures them of their privacy. They discuss their work for Armitage and the importance of obtaining the Flatline's construct.	15100	937	14	541	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Finn offers to remove the toxin sacs implanted in Case's body if he completes a job for him. Case and Molly agree, and they prepare to embark on a dangerous mission to steal the Flatline's construct from Sense/Net's vault.	15100	937	15	541	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters. Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City. Case and Molly go to Sammi's, an arena where knife-fighting matches take place, and watch the holographic fight. Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked. He sees Linda Lee, his former lover, and chases after her, but is attacked by a boy with a razor. Molly saves him by shooting the boy with fletchettes. Case and Molly witness a knife-fighting match, but their encounter is interrupted when Case is attacked by a boy with a razor. Molly saves him by shooting the boy, and they find Linda Lee lying injured on the ground. Armitage reveals to Case that he has implanted toxin sacs in his body and offers to remove them if Case completes a job for him.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss Armitage and their mission, and Molly suggests that Case use his skills as a cowboy to gather information. Case enters cyberspace and experiences a vivid hallucination before being interrupted by the arrival of the Finn, who brings him a booby-trapped device.	16123	1003	15	582	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	The Finn gives Case a booby-trapped device that allows access to simstim without leaving the matrix, and they discuss its purpose.	16123	1003	16	582	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life. Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee. Case and Molly meet Armitage, who reveals that he was part of the military operation that created Case's kind of console cowboy. Armitage offers to fix Case's neural damage in exchange for his services. Case and Molly discuss their mysterious employer and the uncertainty surrounding their current mission, while Case reflects on his recent experiences and encounters. Case and Molly engage in a sexual encounter, while Case reflects on his upcoming meeting with Armitage and the potential consequences for his friends in Chiba City. Case and Molly go to Sammi's, an arena where knife-fighting matches take place, and watch the holographic fight. Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked. He sees Linda Lee, his former lover, and chases after her, but is attacked by a boy with a razor. Molly saves him by shooting the boy with fletchettes. Case and Molly witness a knife-fighting match, but their encounter is interrupted when Case is attacked by a boy with a razor. Molly saves him by shooting the boy, and they find Linda Lee lying injured on the ground. Armitage reveals to Case that he has implanted toxin sacs in his body and offers to remove them if Case completes a job for him. Case and Molly enter a hidden room where Finn, a man with small ears and yellow teeth, scans them for implants and assures them of their privacy. They discuss their work for Armitage and the importance of obtaining the Flatline's construct.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case sits in a loft with dermatrodes strapped to his forehead, preparing to access Molly's sensorium through simstim technology, reflecting on the nature of simstim and his own experiences in cyberspace.	17134	1067	16	627	
